slug,название,номинал,единица_номинала,год,монетный_двор,era,sub_period,type,material,series,разновидность,тираж,диаметр_мм,толщина_мм,вес_г,гурт,цена_vf20,цена_ef40,цена_au50,цена_ms63,цена_ms65,описание,описание_аверс,описание_реверс
3r-1992-pobeda-demokraticheskikh-sil-rossii-19-21-avgusta-1991-goda,Победа демократических сил России 19-21 августа 1991 года,3,рубль,1992,ММД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,33,2.3,14.35,"две надписи «ТРИ РУБЛЯ», разделённые двумя звёздочками",0,0,0,0,0,Официальная памятная монета 3 рубля (1992) с темой «Победа демократических сил России 19-21 августа 1991 года»; штемпель ММД. Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. Тираж 600 000 шт. хорошо известен по банковским материалам и фиксируется в нумизматических справочниках. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.,"в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – эмблема Банка России (двуглавый орёл с опущенными крыльями), под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""3 РУБЛЯ 1992""; вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","символическое изображение богини Победы на фоне Дома Советов Российской Федерации в Москве, правой рукой опирающейся на щит с изображением герба Москвы, левой рукой держащей горн и попирающей ногой меч; справа от неё - надпись в три строки: ""19-21 АВГУСТА"", в нижней части слева и справа от изображения - дубовая и лавровая ветви."
3r-1992-mezhdunarodnyy-god-kosmosa,Международный год Космоса,3,рубль,1992,ММД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,33,2.3,14.35,"две надписи ""ТРИ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,"Представитель памятной эмиссии 1992 года (3 рубля), монетный двор — ММД: «Международный год Космоса». Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). По официальным данным эмиссии тираж составил 600 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""3 РУБЛЯ 1992""; вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска на фоне звездного неба – рельефное аллегорическое изображение Земли в виде парящей в пространстве женской фигуры с простертыми верх руками, справа на втором плане - планета, вдоль канта – круговая надпись: ""МЕЖДУНАРОДНЫЙ ГОД КОСМОСА"", разделённая внизу звёздочкой."
3r-1992-750-letie-pobedy-aleksandra-nevskogo-na-chudskom-ozere,750-летие Победы Александра Невского на Чудском озере,3,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,33,2.3,14.35,"две надписи ""ТРИ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,"Каталожная карточка: 3 рубля, 1992 год, монетный двор — ЛМД. Тематика выпуска — «750-летие Победы Александра Невского на Чудском озере». Оформлена как самостоятельный сюжет без привязки к крупной серии в базе проекта.  Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""3 РУБЛЯ 1992""; вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска - рельефные изображения сражающихся русских воинов и немецких рыцарей на треснувшем льду, вдоль канта – надписи по кругу в старославянской стилистике, вверху: ""750 ЛЕТ ПОБЕДЫ АЛЕКСАНДРА НЕВСКОГО"", справа: ""НА ЧУДСКОМ ОЗЕРЕ"", внизу: ""5 АПРЕЛЯ 1242 ГОДА""."
5r-1992-mavzoley-mechet-akhmeda-yasavi-v-g-turkestane-respublika-kazakhstan,Мавзолей-мечеть Ахмеда Ясави в г. Туркестане (Республика Казахстан),5,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,35,2.6,19.8,"две надписи ""ПЯТЬ РУБЛЕЙ"", разделённые двумя звёздочками",0,0,0,0,0,"Номинал 5 рублей, год чеканки 1992, монетный двор — ЛМД. Предмет коллекционирования — памятная монета с наименованием «Мавзолей-мечеть Ахмеда Ясави в г. Туркестане (Республика Казахстан)». Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). По официальным данным эмиссии тираж составил 150 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. Рыночная котировка в первую очередь следует за сохранностью и редкостью штемпельных разновидностей.","в центре диска, в круге из точек – номинал в две строки: ""5 РУБЛЕЙ"", обрамленный слева пшеничным колосом, справа – дубовой ветвью и подчеркнутый горизонтальной линией, разделенной товарным знаком монетного двора, под линией - год выпуска: ""1992""; вдоль канта по окружности - надписи, разделенные двумя фрагментами орнамента, вверху: ""КАЗАКСТАН"" (в транскрипции казахского языка), внизу: ""БАНК РОССИИ"".","в центре диска – рельефное изображение мавзолея-мечети Ахмеда Ясави, вдоль канта вверху - надпись в восточной стилизации: ""МАВЗОЛЕЙ-МЕЧЕТЬ АХМЕДА ЯСАВИ"", под ней – дата: ""XIY в."", подчеркнутая фрагментом орнамента, внизу – горизонтальная надпись ""ТУРКЕСТАН""."
3r-1992-severnyy-konvoy,Северный конвой,3,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,50-letie-pobedy-v-velikoy-otechestvennoy-voyne,,400000,33,2.3,14.35,"две надписи ""ТРИ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,"Юбилейная монета 3 рубля 1992 года (ЛМД) посвящена теме «Северный конвой» — для коллекционера это прежде всего сюжет и сохранность. Серия в каталоге: «50 лет Победы в ВОВ».  Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""3 РУБЛЯ 1992""; вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска – рельефное изображения трёх судов в кильватерной колоне, атакуемых бомбардировщиком, под ними слева направо - флаги США, Великобритании и Советского Союза, вдоль канта – надписи по окружности, внизу: ""СЕВЕРНЫЙ КОНВОЙ"", справа – даты: ""1941-1945""."
10r-1992-amurskiy-tigr,Амурский тигр,10,рубль,1992,ЛМД,rf,1992-1993,jubilee,bimetal,krasnaya-kniga,,300000,25,1.75,6.25,10 участков по 12 рифлений каждый,0,0,0,0,0,"Каталожная карточка: 10 рублей, 1992 год, монетный двор — ЛМД. Тематика выпуска — «Амурский тигр». Материал заготовки по паспорту выпуска: биметаллическая заготовка. Тираж 300 000 шт. хорошо известен по банковским материалам и фиксируется в нумизматических справочниках. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","на диске в центре – номинал в две строки ""10 РУБЛЕЙ"", под ним - товарный знак монетного двора, на кольце вдоль канта по окружности - надписи, разделенные двумя фрагментами орнамента, вверху: ""БАНК РОССИИ"", внизу – год выпуска: ""1992"".","на диске в центре - рельефное изображение идущего тигра, на кольце вдоль канта по окружности - надписи, разделённые двумя точками, вверху: ""КРАСНАЯ КНИГА"", внизу: ""АМУРСКИЙ ТИГР""."
10r-1992-krasnozobaya-kazarka,Краснозобая казарка,10,рубль,1992,ЛМД,rf,1992-1993,jubilee,bimetal,krasnaya-kniga,,300000,25,1.75,6.25,10 участков по 12 рифлений каждый,0,0,0,0,0,"Каталожная карточка: 10 рублей, 1992 год, монетный двор — ЛМД. Тематика выпуска — «Краснозобая казарка». Серия в каталоге: «Красная книга». Официальный тираж — 300 000 шт.; для ориентира по рынку смотрите состояние и полноту комплекта. Сохраняйте монету от влаги и механических повреждений — для памятных выпусков критична сохранность деталей рельефа.","на диске в центре – номинал в две строки ""10 РУБЛЕЙ"", под ним - товарный знак монетного двора, на кольце вдоль канта по окружности - надписи, разделенные двумя фрагментами орнамента, вверху: ""БАНК РОССИИ"", внизу – год выпуска: ""1992"".","на диске в центре - рельефное изображение краснозобой казарки, на кольце по окружности - надписи, разделённые двумя точками, вверху: ""КРАСНАЯ КНИГА"", внизу: ""КРАСНОЗОБАЯ КАЗАРКА""."
10r-1992-sredneaziatskaya-kobra,Среднеазиатская кобра,10,рубль,1992,ЛМД,rf,1992-1993,jubilee,bimetal,krasnaya-kniga,,300000,25,1.75,6.25,10 участков по 12 рифлений каждый,0,0,0,0,0,"Выпуск 1992 года, 10 рублей, монетный двор — ЛМД: на реверсе раскрывается тема «Среднеазиатская кобра» в рамках официальной памятной программы. Серия в каталоге: «Красная книга».  Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","на диске в центре – номинал в две строки ""10 РУБЛЕЙ"", под ним - товарный знак монетного двора, на кольце по окружности - надпись, вверху: ""БАНК РОССИИ"", внизу – дата: ""1992"" между двумя фрагментами растительного орнамента.","на диске в центре - рельефное изображение среднеазиатской кобры, на кольце вдоль канта по окружности - надписи, разделённые двумя точками, вверху: ""КРАСНАЯ КНИГА"", внизу: ""СРЕДНЕАЗИАТСКАЯ КОБРА""."
5r-1991-vintorogiy-kozel,Винторогий козёл,5,рубль,1991,ЛМД,rf,pre-reform,jubilee,cupronickel,krasnaya-kniga-sssr,,550000,26,1.85,6.25,Рубчатый,0,0,0,0,0,"Памятный выпуск номиналом 5 рублей (1991, монетный двор — ЛМД) — отдельная позиция в каталоге современной России: сюжет «Винторогий козёл».   ","Государственный герб СССР и номинал «5 РУБЛЕЙ», год выпуска «1991», знак монетного двора.",Винторогий козёл в типичной горной среде обитания; по канту — надпись «КРАСНАЯ КНИГА СССР» и название вида.
5r-1991-rybnyy-filin,Рыбный филин,5,рубль,1991,ЛМД,rf,pre-reform,jubilee,cupronickel,krasnaya-kniga-sssr,,550000,26,1.85,6.25,Рубчатый,0,0,0,0,0,"Юбилейная монета 5 рублей 1991 года (ЛМД) посвящена теме «Рыбный филин» — для коллекционера это прежде всего сюжет и сохранность. Серия в каталоге: «Красная книга СССР».  Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","Государственный герб СССР и номинал «5 РУБЛЕЙ», год выпуска «1991», знак монетного двора.",Рыбный филин у воды с добычей; по канту — надпись «КРАСНАЯ КНИГА СССР» и название вида.
3r-1993-50-letie-osvobozhdeniya-kieva-ot-fashistskikh-zakhvatchikov,50-летие освобождения Киева от фашистских захватчиков,3,рубль,1993,ММД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,33,2.3,14.35,"две углублённые надписи ""ТРИ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,Юбилейная монета 3 рубля 1993 года (ММД) посвящена теме «50-летие освобождения Киева от фашистских захватчиков» — для коллекционера это прежде всего сюжет и сохранность. Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. По официальным данным эмиссии тираж составил 150 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.,"в центре диска - изображения купола здания Сената и Спасской башни Московского Кремля, справа от них - товарный знак монетного двора. По окружности надписи, обрамлённые кругом из точек: вверху - ""ТРИ РУБЛЯ 1993 г."", внизу - ""БАНК РОССИИ"".","изображения статуи Матери-Родины, входящей в ансамбль Украинского государственного музея Великой Отечественной войны 1941-1945 гг. на фоне колокольни Софийского собора, памятников Богдану Хмельницкому и Владимиру Святославичу."
3r-1993-50-letie-pobedy-na-kurskoy-duge,50-летие Победы на Курской дуге,3,рубль,1993,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,33,2.3,14.35,"две углублённые надписи ""ТРИ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,Юбилейная монета 3 рубля 1993 года (ЛМД) посвящена теме «50-летие Победы на Курской дуге» — для коллекционера это прежде всего сюжет и сохранность. Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). По официальным данным эмиссии тираж составил 150 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.,"в центре диска - изображения купола здания Сената и Спасской башни Московского Кремля, справа от них - товарный знак монетного двора. По окружности надписи, обрамлённые кругом из точек: вверху - ""ТРИ РУБЛЯ 1993 г."", внизу - ""БАНК РОССИИ"".","изображение момента танкового сражения на Курской дуге на фоне карты битвы. Вверху по окружности - надпись: ""50 ЛЕТ ПОБЕДЫ НА КУРСКОЙ ДУГЕ""."
3r-1993-50-letie-pobedy-na-volge,50-летие Победы на Волге,3,рубль,1993,ММД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,33,2.3,14.35,"две углублённые надписи «ТРИ РУБЛЯ», разделённые двумя звёздочками",0,0,0,0,0,"Номинал 3 рубля, год чеканки 1993, монетный двор — ММД. Предмет коллекционирования — памятная монета с наименованием «50-летие Победы на Волге». Материал заготовки по паспорту выпуска: мельхиор (медно-никелевый сплав). Официальный тираж — 150 000 шт.; для ориентира по рынку смотрите состояние и полноту комплекта. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска - изображения купола здания Сената и Спасской башни Московского Кремля, справа от них - товарный знак монетного двора. По окружности надписи, обрамлённые кругом из точек: вверху - ""ТРИ РУБЛЯ 1993 г."", внизу - ""БАНК РОССИИ"".","изображения двух скульптур - фрагментов ансамбля - памятника ""Героям Сталинградской битвы"" на Мамаевом кургане в Волгограде. Вверху по окружности - надпись: ""СТАЛИНГРАДСКАЯ БИТВА"", внизу - даты: ""1942 - 1943""."
5r-1993-arkhitekturnye-pamyatniki-drevnego-merva-respublika-turkmenistan,Архитектурные памятники древнего Мерва (Республика Туркменистан),5,рубль,1993,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,35,1.8,6,"две углублённые надписи ""ПЯТЬ РУБЛЯ"", разделённые двумя звёздочками",0,0,0,0,0,Юбилейная монета 5 рублей 1993 года (ЛМД) посвящена теме «Архитектурные памятники древнего Мерва (Республика Туркменистан)» — для коллекционера это прежде всего сюжет и сохранность.   ,"в центре диска - надпись в две строки: ""5 РУБЛЕЙ"", - слева и справа от неё - лавровая и дубовая ветви, под словом ""РУБЛЕЙ"", в центре прерывистой линии - товарный знак монетного двора, ниже - дата: ""1993"". По окружности надписи, обрамлённые кругом из точек: вверху - ""ТУРКМЕНИСТАН"", внизу - ""БАНК РОССИИ"".","изображение архитектурных памятников древнего Мерва, вверху по окружности - надпись: ""МЕРВ"", ниже - окаймлённая узором дата в две строки: ""2500 ЛЕТ"", внизу - надпись: ""ТУРКМЕНИСТАН"" и элемент узора."
5r-1993-troitse-sergieva-lavra-g-sergiev-posad,"Троице-Сергиева лавра, г. Сергиев Посад",5,рубль,1993,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,150000,35,1.8,6,"две углублённые надписи ""ПЯТЬ РУБЛЕЙ"", разделённые двумя звёздочками",0,0,0,0,0,"Выпуск 1993 года, 5 рублей, монетный двор — ЛМД: на реверсе раскрывается тема «Троице-Сергиева лавра, г. Сергиев Посад» в рамках официальной памятной программы. Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. Официальный тираж — 150 000 шт.; для ориентира по рынку смотрите состояние и полноту комплекта. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - эмблема Банка России (двуглавый орёл художника И. Билибина), под ним справа - товарный знак монетного двора. По окружности надписи, обрамлённые кругом из точек: вверху - ""ПЯТЬ РУБЛЕЙ 1993 г."", внизу - ""БАНК РОССИИ"".","изображение древнерусского монастыря Троице-Сергиевой лавры, выше - православный крест, по окружности - надпись: ""ТРОИЦЕ-СЕРГИЕВА ЛАВРА"", внизу под изображением монастыря - надпись в две строки: ""СЕРГИЕВ ПОСАД XIV - XVIII вв."""
1r-1993-175-letie-so-dnya-rozhdeniya-i-s-turgeneva,175-летие со дня рождения И.С.Тургенева,1,рубль,1993,ЛМД,rf,1992-1993,jubilee,cupronickel,vydayushchiesya-lichnosti-rossii,,150000,31,1.4,2.95,"две углублённые надписи ""ОДИН РУБЛЬ"", разделённые двумя звёздочками",0,0,0,0,0,"Номинал 1 рубль, год чеканки 1993, монетный двор — ЛМД. Предмет коллекционирования — памятная монета с наименованием «175-летие со дня рождения И.С.Тургенева».   Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска - эмблема Банка России (двуглавый орёл художника И. Билибина), под ним справа - товарный знак монетного двора. По окружности надписи, обрамлённые кругом из точек: вверху - ""ОДИН РУБЛЬ 1993 г."", внизу - ""БАНК РОССИИ"".","портрет И.С.Тургенева, справа внизу - лавровая ветвь, внизу - факсимиле писателя и даты: ""1818 - 1883"""
